Source	ID	Label	Parent ID	Parent Label	Related
envo	ENVO:00001998	soil	BFO:0000040	material entity	
envo	ENVO:00002257	podzol	ENVO:00001998	soil	
envo	ENVO:00010483	environmental material	BFO:0000040	material entity	
